iter	RMSE
296	0.1606529769
297	0.1606516979
298	0.1606504564
299	0.1606487761
300	0.1606469451
301	0.1606446768
302	0.1606431242
303	0.1606420824
304	0.1606401798
305	0.1606386932
306	0.1606374797
307	0.1606360773
308	0.1606353614
309	0.1606344588
310	0.1606333282
311	0.1606321496
312	0.1606314083
313	0.1606288893
314	0.1606260242
315	0.1606245367
316	0.1606234697
317	0.1606195813
318	0.1606185839
319	0.1606178673
320	0.1606164485
321	0.1606154582
322	0.1606143193
323	0.1606127468
324	0.1606114593
325	0.1606104619
326	0.1606091956
327	0.1606080842
328	0.1606071801
329	0.16060559
330	0.1606038457
331	0.1606027638
332	0.1606007118
333	0.1606000541
334	0.1605992633
335	0.1605961639
336	0.1605950673
337	0.1605924965
338	0.1605912067
339	0.160590268
340	0.1605890371
341	0.1605876425
342	0.1605863516
343	0.1605839224
344	0.160582248
345	0.1605809935
346	0.1605800633
347	0.1605794879
348	0.1605778577
349	0.1605766525
350	0.1605756617
351	0.1605734701
352	0.1605723455
353	0.1605718347
354	0.1605706209
355	0.1605699093
356	0.1605677731
357	0.1605667819
358	0.1605635573
359	0.1605621682
360	0.1605612326
361	0.1605592897
362	0.1605581392
363	0.160556654
364	0.1605554926
365	0.1605546189
366	0.1605537546
367	0.1605528556
368	0.1605518595
369	0.1605506673
370	0.1605501346
371	0.1605491134
372	0.1605461668
373	0.1605449189
374	0.1605439854
375	0.160543107
376	0.1605409474
377	0.1605401175
378	0.1605392843
379	0.1605379143
380	0.1605374338
381	0.1605364814
382	0.1605354813
383	0.1605344836
384	0.1605340457
385	0.1605333919
386	0.1605322883
387	0.160531718
388	0.1605309167
389	0.1605301168
390	0.1605290808
391	0.1605283576
392	0.1605276304
393	0.1605263777
394	0.1605252629
395	0.1605245568
396	0.1605225682
397	0.1605218211
398	0.1605209394
399	0.1605192852
